# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
# Wednesday,22,April,2009,12:32:39
# 03G 906 021 KH ,,"R4 1,9L EDC G000SG  8984",,
#,Group A:,'015,,,,Group B:,'006,,,,Group C:, Not Running,,,,,,,Gemessener,,,
#,,UPM,Drehmoment,Kraftstoffverbr,Drehmoment,,Drehzahl,Bin/Bits,Last,Bin/Bits,,,Zeitschritte,Zeit,Zeit,Weg,Geschwindigkeit,Beschleunigung,Verbrauch VAGCOM,,,
#,,UPM,Torque,Fuel Consumption,Torque,,number of rotations,Bin/Bits,Load,Bin/Bits,,,Timestep,Time,Time,Position,Speed,Acceleration,Consumption VAGCOM,,,,,,,,,,,,,,,,,,,,
#,TIME,,,,,TIME,,,,,TIME,,dt,t,t,s,v,a,bs,,v,v
#MARKER, STAMP, /min, Nm, l/h, Nm,STAMP, km/h,,%,,STAMP,,s,h,min,km,km/h,m/s2,l,,km/h,m/s
,12.72,1008,63.4,1.4,53.7,12.94,3,1100,7.1,0,,,0.45,0.00,0.00,0.00,3,0.60,0.00,,2.94,0.82
,13.17,1029,63.4,1.4,56.1,13.39,4,1100,9.4,0,,,0.45,0.00,0.01,0.00,4,0.92,0.00,,3.92,1.09
,13.62,1071,68.3,1.6,70.8,13.84,5,1100,11.4,0,,,0.45,0.00,0.02,0.00,5,0.92,0.00,,4.9,1.36
,14.06,1050,73.2,1.6,68.3,14.29,7,1100,15.7,0,,,0.44,0.00,0.02,0.00,7,0.91,0.00,,6.86,1.91
,14.51,1050,87.8,2,80.5,14.74,8,1100,24.7,0,,,0.45,0.00,0.03,0.00,8,1.21,0.00,,7.84,2.18
,14.96,1218,104.9,2.8,107.4,15.18,10,1100,32.5,0,,,0.45,0.00,0.04,0.00,10,1.51,0.00,,9.8,2.72
,15.41,1470,114.7,3.8,112.2,15.63,12,1100,36.1,0,,,0.45,0.00,0.04,0.01,12,1.53,0.00,,11.76,3.27
,15.86,1722,107.4,4.2,104.9,16.08,15,1100,35.7,0,,,0.45,0.00,0.05,0.01,15,0.92,0.00,,14.7,4.08
,16.3,1911,92.7,4,90.3,16.53,17,1100,32.2,0,,,0.44,0.00,0.06,0.01,17,0.30,0.00,,16.66,4.63
,16.75,1953,24.4,1.4,9.8,16.98,18,1100,0,0,,,0.45,0.00,0.07,0.01,18,0.30,0.00,,17.64,4.90
,17.22,1365,7.3,0.2,0,17.44,18,1100,28.2,0,,,0.47,0.00,0.08,0.01,18,1.22,0.00,,17.64,4.90
,17.66,1197,161,4.6,180.6,17.89,19,1100,56.1,0,,,0.44,0.00,0.08,0.02,19,1.81,0.00,,18.62,5.17
,18.11,1365,214.7,6.8,241.6,18.34,22,1000,57.3,0,,,0.45,0.00,0.09,0.02,22,1.81,0.00,,21.56,5.99
,18.56,1575,224.5,8,222,18.78,25,1000,57.6,0,,,0.45,0.00,0.10,0.02,25,1.81,0.01,,24.5,6.81
,19.01,1764,195.2,8.2,185.4,19.23,28,1000,52.5,0,,,0.45,0.00,0.10,0.03,27,1.53,0.01,,27.44,7.62
,19.46,1932,156.2,7.2,148.8,19.68,31,1000,38.8,0,,,0.45,0.00,0.11,0.03,30,0.61,0.01,,30.38,8.44
,19.9,1806,17.1,0.8,0,20.13,33,1100,0,0,,,0.44,0.00,0.12,0.03,32,0.00,0.01,,32.34,8.98
,20.35,1365,4.9,0,0,20.57,33,1100,14.5,0,,,0.45,0.00,0.13,0.04,32,0.30,0.01,,32.34,8.98
,20.8,1449,92.7,2.8,114.7,21.02,33,1100,42.4,0,,,0.45,0.00,0.13,0.04,32,0.92,0.01,,32.34,8.98
,21.25,1344,153.7,4.8,153.7,21.47,34,1000,42.4,0,,,0.45,0.00,0.14,0.05,33,0.92,0.01,,33.32,9.26
,21.69,1407,151.3,5,151.3,21.92,36,1000,41.2,0,,,0.44,0.00,0.15,0.05,35,0.91,0.01,,35.28,9.80
,22.14,1470,141.5,4.8,141.5,22.37,37,1000,41.2,0,,,0.45,0.00,0.16,0.05,36,0.91,0.01,,36.26,10.07
,22.59,1533,139.1,4.8,136.6,22.81,39,1000,40.4,0,,,0.45,0.00,0.16,0.06,38,0.60,0.01,,38.22,10.62
,23.04,1575,131.8,4.8,131.8,23.26,40,1000,43.5,0,,,0.45,0.00,0.17,0.06,39,0.92,0.01,,39.2,10.89
,23.49,1638,148.8,5.6,153.7,23.71,41,1000,43.9,0,,,0.45,0.00,0.18,0.07,40,0.92,0.01,,40.18,11.16
,23.93,1680,141.5,5.6,139.1,24.16,43,1000,43.9,0,,,0.44,0.00,0.19,0.07,42,0.60,0.01,,42.14,11.71
,24.38,1743,136.6,5.4,136.6,24.61,44,1000,43.5,0,,,0.45,0.00,0.19,0.08,43,0.60,0.01,,43.12,11.98
,24.83,1785,131.8,5.4,126.9,25.05,45,1000,15.3,0,,,0.45,0.00,0.20,0.09,44,0.30,0.01,,44.1,12.25
,25.28,1659,9.8,0.2,0,25.5,46,1100,0,0,,,0.45,0.00,0.21,0.09,45,0.00,0.01,,45.08,12.52
,25.73,1197,9.8,0,2.4,25.95,46,1100,24.7,0,,,0.45,0.00,0.22,0.10,45,0.00,0.01,,45.08,12.52
,26.17,1302,102.5,3,109.8,26.4,46,1000,29.8,0,,,0.44,0.00,0.22,0.10,45,0.30,0.01,,45.08,12.52
,26.62,1302,112.2,3.4,117.1,26.85,46,1000,32.9,0,,,0.45,0.00,0.23,0.11,45,0.60,0.01,,45.08,12.52
,27.07,1302,114.7,3.4,109.8,27.29,47,1000,29.4,0,,,0.45,0.00,0.24,0.11,46,0.30,0.01,,46.06,12.79
,27.52,1323,102.5,3.2,100,27.74,48,1000,26.7,0,,,0.45,0.00,0.25,0.12,47,0.00,0.02,,47.04,13.07
,27.97,1344,95.2,2.8,95.2,28.19,48,1000,26.7,0,,,0.45,0.00,0.25,0.12,47,0.31,0.02,,47.04,13.07
,28.41,1344,92.7,2.8,92.7,28.64,48,1000,25.5,0,,,0.44,0.00,0.26,0.13,47,0.30,0.02,,47.04,13.07
,28.86,1365,87.8,2.8,87.8,29.09,49,1000,24.3,0,,,0.45,0.00,0.27,0.14,48,0.00,0.02,,48.02,13.34
,29.31,1365,83,2.6,80.5,29.53,49,1000,20.8,0,,,0.45,0.00,0.28,0.14,48,0.00,0.02,,48.02,13.34
,29.76,1386,68.3,2.2,65.9,29.98,49,1000,18.8,0,,,0.45,0.00,0.28,0.15,48,0.31,0.02,,48.02,13.34
,30.21,1386,63.4,2,63.4,30.43,49,1000,18.8,0,,,0.45,0.00,0.29,0.15,48,0.31,0.02,,48.02,13.34
,30.65,1386,63.4,2,63.4,30.88,50,1000,20,0,,,0.44,0.00,0.30,0.16,49,0.00,0.02,,49,13.61
,31.1,1386,65.9,2,68.3,31.33,50,1000,20.4,0,,,0.45,0.01,0.31,0.17,49,0.00,0.02,,49,13.61
,31.55,1386,68.3,2.2,68.3,31.77,50,1000,20.4,0,,,0.45,0.01,0.31,0.17,49,0.00,0.02,,49,13.61
,32,1386,68.3,2.2,68.3,32.22,50,1000,20.4,0,,,0.45,0.01,0.32,0.18,49,0.00,0.02,,49,13.61
