# Movsim.org example data for fuel consumption modeling# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
#line,Date,Time,TimeDiff,,,,,,,V [ktn],V [km/h],,,,,,,Height [m],,Avg Height [m],Position [m],Position [km],Slope [%],alpha [rad],acc,time [min],v,v
,,,,,,,,,,,,,,,,,,,,,,,,,,,km/h,m/s, Time of day [s],
0,4/22/2009,12:32:43,0.00001157,103243.00,A,"52,147,999",N,"10,306,869",E,0.0,0,338.4,220409,01.0,W,A*1F,9,64,100,64.00,0.00,0.00,0.00,0,0.00,0.00,0,0,45163,
1,4/22/2009,12:32:44,0.00001157,103244.00,A,"52,148,017",N,"10,306,862",E,0.0,0,346.6,220409,01.0,W,A*18,9,65,100,65.00,0.00,0.00,0.00,0,5.09,0.02,0,0,45164,
2,4/22/2009,12:32:45,0.00001157,103245.00,A,"52,148,042",N,"10,306,861",E,9.9,18.3348,004.4,220409,01.0,W,A*1D,10,65,101,65.00,5.09,0.01,0.54,0.005387272,0.26,0.03,18,5,45165,
3,4/22/2009,12:32:46,0.00001157,103246.00,A,"52,148,071",N,"10,306,867",E,10.4,19.2608,008.8,220409,01.0,W,A*1D,9,65,101,65.00,10.44,0.01,0.59,0.005887076,0.93,0.05,19,5,45166,
4,4/22/2009,12:32:47,0.00001157,103247.00,A,"52,148,103",N,"10,306,875",E,12.2,22.5944,008.6,220409,01.0,W,A*11,10,65,100,65.00,16.72,0.02,0.64,0.006374846,2.06,0.07,23,6,45167,
5,4/22/2009,12:32:48,0.00001157,103248.00,A,"52,148,145",N,"10,306,883",E,16.2,30.0024,006.4,220409,01.0,W,A*1D,9,65,101,65.00,25.05,0.03,0.69,0.006898568,0.87,0.08,30,8,45168,
6,4/22/2009,12:32:49,0.00001157,103249.00,A,"52,148,194",N,"10,306,891",E,17.9,33.1508,004.4,220409,01.0,W,A*1B,9,65,99,65.00,34.26,0.03,0.74,0.007439442,0.21,0.10,33,9,45169,
7,4/22/2009,12:32:50,0.00001157,103250.00,A,"52,148,247",N,"10,306,899",E,18.3,33.8916,004.6,220409,01.0,W,A*11,10,65,100,65.00,43.68,0.04,0.54,0.005387272,1.08,0.12,34,9,45170,
8,4/22/2009,12:32:51,0.00001157,103251.00,A,"52,148,300",N,"10,306,906",E,20.4,37.7808,006.0,220409,01.0,W,A*1D,9,65,100,65.00,54.17,0.05,0.59,0.005887076,0.62,0.13,38,10,45171,
9,4/22/2009,12:32:52,0.00001157,103252.00,A,"52,148,360",N,"10,306,915",E,21.6,40.0032,004.6,220409,01.0,W,A*1D,10,65,101,65.00,65.28,0.07,0.64,0.006374846,0.82,0.15,40,11,45172,
10,4/22/2009,12:32:53,0.00001157,103253.00,A,"52,148,425",N,"10,306,922",E,23.2,42.9664,001.6,220409,01.0,W,A*1D,10,65,99,65.00,77.22,0.08,0.69,0.006898568,0.62,0.17,43,12,45173,
11,4/22/2009,12:32:54,0.00001157,103254.00,A,"52,148,495",N,"10,306,926",E,24.4,45.1888,003.0,220409,01.0,W,A*10,9,65,100,65.00,89.77,0.09,0.74,0.007439442,0.00,0.18,45,13,45174,
12,4/22/2009,12:32:55,0.00001157,103255.00,A,"52,148,565",N,"10,306,926",E,24.4,45.1888,001.4,220409,01.0,W,A*19,9,66,100,65.52,102.32,0.10,0.80,0.007950117,0.72,0.20,45,13,45175,
13,4/22/2009,12:32:56,0.00001157,103256.00,A,"52,148,636",N,"10,306,926",E,25.8,47.7816,360.2,220409,01.0,W,A*10,10,66,100,65.62,115.60,0.12,0.85,0.008491908,-0.10,0.22,48,13,45176,
14,4/22/2009,12:32:57,0.00001157,103257.00,A,"52,148,709",N,"10,306,923",E,25.6,47.4112,357.0,220409,01.0,W,A*11,10,66,101,65.71,128.77,0.13,0.90,0.009042741,0.46,0.23,47,13,45177,
15,4/22/2009,12:32:58,0.00001157,103258.00,A,"52,148,783",N,"10,306,917",E,26.5,49.078,357.4,220409,01.0,W,A*1F,10,66,101,65.81,142.40,0.14,0.96,0.009612122,-0.15,0.25,49,14,45178,
16,4/22/2009,12:32:59,0.00001157,103259.00,A,"52,148,857",N,"10,306,913",E,26.2,48.5224,358.0,220409,01.0,W,A*10,9,66,101,65.90,155.88,0.16,1.02,0.010210207,0.10,0.27,49,13,45179,
17,4/22/2009,12:33:00,0.00001157,103300.00,A,"52,148,932",N,"10,306,908",E,26.4,48.8928,357.8,220409,01.0,W,A*14,10,66,100,66.00,169.46,0.17,0.73,0.007307556,0.10,0.28,49,14,45180,
18,4/22/2009,12:33:01,0.00001157,103301.00,A,"52,149,007",N,"10,306,902",E,26.6,49.2632,356.2,220409,01.0,W,A*18,9,66,101,66.10,183.14,0.18,0.73,0.007253024,0.10,0.30,49,14,45181,
19,4/22/2009,12:33:02,0.00001157,103302.00,A,"52,149,082",N,"10,306,893",E,26.8,49.6336,356.2,220409,01.0,W,A*11,10,66,101,66.19,196.93,0.20,0.72,0.007185993,0.26,0.32,50,14,45182,
20,4/22/2009,12:33:03,0.00001157,103303.00,A,"52,149,158",N,"10,306,882",E,27.3,50.5596,353.8,220409,01.0,W,A*13,9,66,101,66.29,210.97,0.21,0.71,0.007138492,0.00,0.33,51,14,45183,
21,4/22/2009,12:33:04,0.00001157,103304.00,A,"52,149,233",N,"10,306,867",E,27.3,50.5596,353.4,220409,01.0,W,A*1D,9,66,96,66.38,225.02,0.23,0.71,0.007081282,0.10,0.35,51,14,45184,
22,4/22/2009,12:33:05,0.00001157,103305.00,A,"52,149,310",N,"10,306,849",E,27.5,50.93,351.0,220409,01.0,W,A*10,9,66,101,66.52,239.17,0.24,0.70,0.007047905,0.15,0.37,51,14,45185,
23,4/22/2009,12:33:06,0.00001157,103306.00,A,"52,149,386",N,"10,306,829",E,27.8,51.4856,350.2,220409,01.0,W,A*14,9,67,100,66.62,253.47,0.25,0.70,0.007027522,0.15,0.38,51,14,45186,
24,4/22/2009,12:33:07,0.00001157,103307.00,A,"52,149,463",N,"10,306,809",E,28.1,52.0412,350.4,220409,01.0,W,A*1B,6,67,100,66.71,267.92,0.27,0.70,0.007014842,0.10,0.40,52,14,45187,
25,4/22/2009,12:33:08,0.00001157,103308.00,A,"52,149,539",N,"10,306,787",E,28.3,52.4116,349.8,220409,01.0,W,A*15,7,67,100,66.81,282.48,0.28,0.70,0.007017374,0.05,0.42,52,15,45188,
