# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
#line,Date,Time,TimeDiff,,,,,,,V [ktn],V [km/h],,,,,,,Height [m],,Avg. Height [m],Position [m],Position [km],Slope [%],alpha [rad],acc,Time [min],v,v,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,km/h,m/s,Time of day [s],
0,2/12/2009,10:23:21,0.00001157,102321.00,A,"51,350,212",N,"10,371,013",E,"000,0",0,265.6,120209,01.0,W,A*1F,7,272,100,272.00,0.00,0.00,0.00,0,0.71,0.05,0,0, 37401,
1,2/12/2009,10:23:22,0.00001157,102322.00,A,"51,350,213",N,"10,371,007",E,"000,0",0,266.0,120209,01.0,W,A*1D,7,272,100,272.00,0.00,0.00,0.00,0,0.80,0.07,0,0, 37402,
2,2/12/2009,10:23:23,0.00001157,102323.00,A,"51,350,212",N,"10,370,997",E,"000,0",0,266.2,120209,01.0,W,A*1E,6,272,100,272.00,0.00,0.00,0.00,0,0.89,0.08,0,0, 37403,
3,2/12/2009,10:23:24,0.00001157,102324.00,A,"51,350,212",N,"10,370,981",E,"000,0",0,262.8,120209,01.0,W,A*10,8,271,100,271.00,0.00,0.00,0.00,0,1.05,0.10,0,0, 37404,
4,2/12/2009,10:23:25,0.00001157,102325.00,A,"51,350,211",N,"10,370,960",E,"005,5",10.186,267.8,120209,01.0,W,A*18,7,271,101,271.00,2.83,0.00,-3.54,-0.035426352,0.46,0.12,10,3, 37405,
5,2/12/2009,10:23:26,0.00001157,102326.00,A,"51,350,213",N,"10,370,934",E,"006,2",11.4824,273.2,120209,01.0,W,A*13,8,271,100,271.00,6.02,0.01,-7.38,-0.073649463,0.44,0.13,11,3, 37406,
6,2/12/2009,10:23:27,0.00001157,102327.00,A,"51,350,214",N,"10,370,905",E,"006,9",12.7788,305.4,120209,01.0,W,A*1A,7,270,100,270.00,9.57,0.01,-6.70,-0.066933901,0.36,0.15,13,4, 37407,
7,2/12/2009,10:23:28,0.00001157,102328.00,A,"51,350,218",N,"10,370,871",E,"008,2",15.1864,279.4,120209,01.0,W,A*14,7,270,100,270.00,13.79,0.01,-6.20,-0.061960816,0.19,0.17,15,4, 37408,
8,2/12/2009,10:23:29,0.00001157,102329.00,A,"51,350,223",N,"10,370,833",E,"009,1",16.8532,284.2,120209,01.0,W,A*1D,7,270,100,270.00,18.47,0.02,-3.51,-0.035080966,0.08,0.18,17,5, 37409,
9,2/12/2009,10:23:30,0.00001157,102330.00,A,"51,350,230",N,"10,370,793",E,"009,6",17.7792,288.2,120209,01.0,W,A*19,6,270,100,270.00,23.41,0.02,-3.54,-0.035426352,0.03,0.20,18,5, 37410,
