# vehicle id = 4
# random fix= 0.46365358
# model label  = ACC1
# model category = TIME_CONTINUOUS_MODEL
# model name = Adaptive-Cruise-Control-Model (short name: ACC)
# physical vehicle length (in m) = 6.00
# position x is defined by vehicle front (on the given road segment)
# origin roadsegment id= 1, exit roadsegment id= -1 (not set=-1)
# Route [roadSegments=[RoadSegment [id=2, userId=2, roadLength=2000.0, laneCount=1], RoadSegment [id=3, userId=3, roadLength=500.0, laneCount=2], RoadSegment [id=4, userId=4, roadLength=2500.0, laneCount=1]], name=main, length=5000.0]
#     t[s],    roadId,      lane,      x[m], totalX[m],    v[m/s],  a[m/s^2],aModel[m/s^2], gap[m],   dv[m/s],distToTL[m],fuelFlow[ml/s],frontVehID,slope[rad]
     67.00,         2,         0,       7.1,    862.61,    17.309,  -0.00000,  -0.00000,   299.218,  -4.67760,     -1.00,  0.973097,         3, 0.00000
     67.20,         2,         0,      10.5,    866.07,    17.309,  -0.00000,  -0.00000,   300.153,  -4.67760,     -1.00,  0.973097,         3, 0.00000
     67.40,         2,         0,      14.0,    869.53,    17.309,  -0.00000,  -0.00000,   301.089,  -4.67760,     -1.00,  0.973097,         3, 0.00000
     67.60,         2,         0,      17.5,    872.99,    17.309,  -0.00000,  -0.00000,   302.024,  -4.67760,     -1.00,  0.973097,         3, 0.00000
     67.80,         2,         0,      20.9,    876.45,    17.309,  -0.00000,  -0.00000,   302.960,  -4.67760,     -1.00,  0.973097,         3, 0.00000
     68.00,         2,         0,      24.4,    879.91,    17.309,  -0.00000,  -0.00000,   303.895,  -4.67760,     -1.00,  0.973097,         3, 0.00000
     68.20,         2,         0,      27.8,    883.38,    17.309,  -0.00000,  -0.00000,   304.831,  -4.67760,     -1.00,  0.973098,         3, 0.00000
     68.40,         2,         0,      31.3,    886.84,    17.309,  -0.00000,  -0.00000,   305.766,  -4.67760,     -1.00,  0.973098,         3, 0.00000
     68.60,         2,         0,      34.8,    890.30,    17.309,  -0.00000,  -0.00000,   306.702,  -4.67760,     -1.00,  0.973098,         3, 0.00000
     68.80,         2,         0,      38.2,    893.76,    17.309,  -0.00000,  -0.00000,   307.637,  -4.67760,     -1.00,  0.973098,         3, 0.00000
